codConceptoVentas;idVenta;concepto;cantidad;precioUnitario;subTotal
ccv-52;4255e56f-a82c-429d-8bcc-5d6cc43c56ad;Sixpack Baltica;1;35;35
ccv-53;9982bf23-c48c-4246-85a4-3a0afb3b78f2;Casa Real Azul;1;35;35
ccv-54;665efb16-6b7d-47cc-aea3-82c8ff7776fa;Ron Presidente;1;45;45
ccv-55;2b1db187-7a9e-40a5-8490-bb4a403d4541;Paceña Lata 330ml;6;7;42
ccv-56;572def5d-5afd-48be-8a6c-eae882ec8e9a;Burguesa 473ml;4;8;32
ccv-57;b952e148-a445-4bf6-bac1-ac05f6ac077d;Sixpack Burguesa 330ml;1;40;40
ccv-58;09d42c12-d438-49d8-aecc-48297b13eb8a;Vino Santa Ana;1;35;35
ccv-59;09d42c12-d438-49d8-aecc-48297b13eb8a;Agua Vital 990ml;1;6;6
ccv-60;601dee69-77ec-46d0-bf69-1e6e41932a08;Cuba Libre;1;20;20
ccv-61;601dee69-77ec-46d0-bf69-1e6e41932a08;Bolsa Hielo 2K;1;5;5
ccv-62;e166ef64-af32-4373-802f-57a024865956;Sixpack Huari Lata;1;50;50
ccv-63;28647fde-e7cf-4fb0-a875-824295ec1cc5;Ice 5L;6;10;60
ccv-64;e597320c-6c09-4d03-9f47-c36a6e92246a;Ice 5L;5;10;50
ccv-65;43f6da8f-527d-473e-8707-3fbb29e9eec0;Vino Turuno;1;30;30
ccv-66;f8e07c0c-de18-4a60-b19a-7ca6dab1ea04;Paceña 440ml;1;8;8
ccv-67;c7bc91f1-d35a-4821-9117-449ca6a75c00;Machucada Café;1;10;10
ccv-68;7f626c12-d740-4e9b-8c43-a02054e229de;Taquiña Chica 440ml;1;5;5
ccv-69;7f626c12-d740-4e9b-8c43-a02054e229de;Baltica 440ml;1;6;6
ccv-70;19790bbe-1682-4ff1-b43f-6de01425d75a;Taquiña Chica 440ml;2;5;10
ccv-71;bf93cd9b-05f3-443a-9455-b3ae7db39ddf;Sixpack Burguesa 330ml;1;45;45
ccv-72;4b9213c3-1e41-4794-b284-6dcbd7434f10;Sixpack Baltica;1;35;35
ccv-73;600b3e38-716f-4324-bff5-50adb0e7a88c;Vino Santa Ana;1;35;35
ccv-74;cc699ce9-3f5c-4b3c-ac17-0b475901b08a;Vodka Barkov 1L;1;45;45
ccv-75;77e48fa4-dd71-4125-b805-29a61bec2480;Latas Paceña Lata;12;8;95
ccv-76;748b5825-4555-4db4-8205-2fc2cf8a847c;Taquiña 440ml;8;5;40
ccv-77;cd1ca99c-3423-4d19-b4dd-a4fd18adeef8;Cajetilla Camel;1;18;18
ccv-78;baffe1c7-7470-4ecc-bc91-82833ab0a534;Vino Turuno;1;25;25
ccv-79;baffe1c7-7470-4ecc-bc91-82833ab0a534;Fanta 3L;1;14;14
ccv-80;baffe1c7-7470-4ecc-bc91-82833ab0a534;Cajetilla Camel peq;1;10;10
ccv-81;add20670-d81d-43b9-8476-ca53e51d0692;Sixpack Corona Botellin;1;65;65
ccv-82;bd44f6e4-5950-43d3-a069-3c56aaf3aabe;Paquete Coca Cola 3L;1;80;80
ccv-83;5eabbfcd-a715-490f-8afd-416a268bbe9b;Baltica 440ml;6;7;42
ccv-84;5eabbfcd-a715-490f-8afd-416a268bbe9b;Dorby Antogico;1;8;8
ccv-85;f3100fb1-adab-49c6-a441-2700a728790c;Cajetilla Camel Act;1;18;18
ccv-86;b1245a52-3131-452c-be0d-7635f131ac80;Sixpack Baltica;1;39;39
ccv-87;ab77854e-e133-41f1-b000-08ddd666abdb;Lata Golden 260ml;12;5;60
ccv-88;0dc77dc0-506a-4fbb-b9bb-bcdea1140a4b;Lata Huari 330ml;5;9;45
ccv-89;38fd3552-ca9d-490b-8911-e47bbe873e4c;Ron Flor de Caña;1;75;75
ccv-90;93b6d8a2-5da9-468e-8df4-93cb90cd50b9;Casa Real Azul;1;35;35
ccv-91;93b6d8a2-5da9-468e-8df4-93cb90cd50b9;Sprite 2L;1;10;10
ccv-92;66c785d6-1581-47d5-9a86-ee4517ec493e;Lata Paceña 440ml;5;8;40
ccv-93;4b935e3c-7978-4964-a7c4-618ab6ba14ab;Lata Golden 440ml;3;7;21
ccv-94;4b935e3c-7978-4964-a7c4-618ab6ba14ab;Machucado Limon;1;10;10
ccv-95;dd6e76a9-2f3a-44fb-9e15-afafe0c6bf81;Sixpack Burguesa 330ml;1;45;45
ccv-96;f2845c6b-130d-4e09-b658-07d0946b87c7;Caja Taquiña;1;65;65
ccv-97;cf7c406c-d94c-4bb8-be7a-11f8033c9405;Vodka Barkov 1L;1;45;45
ccv-98;01f3f5f8-77f4-4c7a-b6c4-2f9cb0f29187;Corona Botellin;2;11;22
ccv-99;01f3f5f8-77f4-4c7a-b6c4-2f9cb0f29187;Cajetilla Camel Pequeña;1;10;10
ccv-100;549963ff-6054-45a9-aaf3-64795656a7ac;Ron Carta Vieja;1;75;75
ccv-101;5e1bfba8-e7d2-4458-b1a7-d828b7b6401e;Baltica 440ml;4;6;24
ccv-102;5e1bfba8-e7d2-4458-b1a7-d828b7b6401e;Cajetilla Derby;1;8;8
ccv-103;fa6f3384-da07-48c5-b88c-e811a04c416d;Combo Ron Flor de Caña;1;85;85
ccv-104;f731de5f-2cfa-4d9f-9302-c035707e72a7;Four Loko Blue;2;22;44
ccv-105;a944d9b9-1fef-4f0a-8cf6-61d8acdf6b1a;Four Loko Black;1;22;22
ccv-106;48eb2cd0-82f1-4f61-900a-cbe91ac8f351;Burguesa 473ml;3;8;24
ccv-107;48eb2cd0-82f1-4f61-900a-cbe91ac8f351;Cajetilla Camel Pequeña;1;10;10
ccv-108;6df45947-a2f4-415f-8a71-b174b67c7547;Baltica 440ml;3;7;21
ccv-109;6df45947-a2f4-415f-8a71-b174b67c7547;Cajetilla Camel Pequeña;1;10;10
ccv-110;a8ad23c1-21f9-4776-93ce-8dcefadf03d1;Caja Baltica 440ml;1;78;78
ccv-111;51278dd4-98de-470d-b66f-dee631b1792f;Paquete Aquarios Pera 500ml;1;28;28
ccv-112;3b434224-3c2b-4230-a8f6-c0ed8799a656;Tres Plumas Seca;1;10;10
ccv-113;3b434224-3c2b-4230-a8f6-c0ed8799a656;Volt Maco;2;5;10
ccv-114;3b434224-3c2b-4230-a8f6-c0ed8799a656;Burguesa 473ml;1;8;8
ccv-115;af0bb621-ef8c-4a1d-988f-3a6c036beff8;Tres Plumas Seca;1;10;10
ccv-116;af0bb621-ef8c-4a1d-988f-3a6c036beff8;Cajetilla Camel Pequeña;1;10;10
ccv-117;30bb9f5d-7c07-4b82-8669-72cb771e3db2;Baltica 440ml;2;7;14
ccv-118;30bb9f5d-7c07-4b82-8669-72cb771e3db2;Cajetilla Derby;1;8;8
ccv-119;b9b4f3f7-0e2a-47f5-bcd5-a0d2b815c42b;Sixpack Baltica;1;39;39
ccv-120;c9b23870-a5c6-43cd-8eb0-b6eb18c1b766;Pack x 12 Burguesa;1;80;80
ccv-121;d67f1412-9517-4c1d-b069-7793e5c0f863;Vino Santa Ana;1;35;35
ccv-122;70937360-5d07-4fe4-8588-1dc1004e705b;Baltica 440ml;4;7;28
ccv-123;70937360-5d07-4fe4-8588-1dc1004e705b;Cajetilla LM Azul;1;10;10
ccv-124;964e24ba-fb92-4d62-85d7-e2b4aa30f49a;Four Loko 473ml;1;25;25
ccv-125;f9d9e25e-0cf4-41b4-8357-ff6e461bb23f;Ron Abuelo 1L;1;85;85
ccv-126;58659836-11fc-42c4-b5fa-f6d6dde15dc2;Ron Flor de Caña;1;75;75
ccv-127;58659836-11fc-42c4-b5fa-f6d6dde15dc2;Coca Cola 3L;1;14;14
ccv-128;5600425f-6bce-43b7-a45d-1d56351a67b8;Taquiña Chica 440ml;6;5;30
ccv-129;5600425f-6bce-43b7-a45d-1d56351a67b8;Bock 440ml;1;9;9
ccv-130;5600425f-6bce-43b7-a45d-1d56351a67b8;Simba Piña;1;9;9
ccv-131;2507f95e-1493-42bb-a942-be2210eaa795;Paceña Lata 440ml;2;6;18
ccv-132;016c73e0-ce2e-431c-bcd0-183e5500dfe7;Coca Cola 3L;3;14;42
ccv-133;016c73e0-ce2e-431c-bcd0-183e5500dfe7;Bolsa Hielo 2K;1;5;5
ccv-134;16de0fbf-e39f-4224-b3bd-03e58d9dd9b4;Burguesa 473ml;5;8;40
ccv-135;2fcd39b2-cd5d-4353-82c1-b13ed16ef80b;Huari Lata Miel;3;9;27
ccv-136;49aa9f35-a67f-403e-a776-77af29ac51df;Tres Plumas Café;2;10;20
ccv-137;49aa9f35-a67f-403e-a776-77af29ac51df;Machucada Menta;2;10;20
ccv-138;f412abba-d9fc-4d2d-851c-09e67bb503d6;Coca Cola 2L;2;10;20
ccv-139;f412abba-d9fc-4d2d-851c-09e67bb503d6;Bolsa Hielo 2K;5;5;5
ccv-140;ec54e704-2b59-44fe-b346-4e41d9c25af9;Sixpack Corona;1;65;65
ccv-141;672fea9c-30d0-4e7a-a4bd-8156695eb961;Huari Lata 210ml;10;9;90
ccv-142;34b8cebb-30a4-438f-b5c8-97d47277c62f;Burguesa Lata 350ml;2;7;14
ccv-143;251dc8ae-e066-404e-a983-80086a131943;Cajetilla Lm Forward;1;16;16
ccv-144;251dc8ae-e066-404e-a983-80086a131943;Tres Plumas Café;1;10;10
ccv-145;251dc8ae-e066-404e-a983-80086a131943;Machucada Menta;1;10;10
ccv-146;8279d06d-5f4d-4ef4-b1a7-d0f78396ddf7;Pack 12 Paceña 330ml;1;84;84
ccv-147;41632b4a-7c65-437d-a645-a00981ee7914;Combo Branco 750ml + pepsi 3L;1;91;91
ccv-148;b7b11d05-16a1-4407-a870-3d67eb7e6020;Casa Real Azul;1;35;35
ccv-149;b7b11d05-16a1-4407-a870-3d67eb7e6020;Sprite 3L;1;14;14
ccv-150;4e7b2e65-ad5d-4430-9fbd-1f05af1becb3;Casa Real Azul;1;35;35
ccv-151;4e7b2e65-ad5d-4430-9fbd-1f05af1becb3;7Up;1;11;11
ccv-152;f1930b55-ed8f-4222-be57-c4f75fd05762;Taquiña Chica 440ml;4;5;20
ccv-153;f1930b55-ed8f-4222-be57-c4f75fd05762;Coca Cola 3L;1;14;14
ccv-154;8edd3b0b-513d-452e-9807-09aed14152db;Sixpack Baltica;1;39;39
ccv-155;8e02c8a8-f923-437d-9bd9-a1d51b195f46;Cajetilla Winston;2;10;20
ccv-156;5519eb7c-43e4-491c-a2dd-cecca5fccdc1;Fernet Bronco;1;75;75
ccv-157;5519eb7c-43e4-491c-a2dd-cecca5fccdc1;Pepsi 3L;1;11;11
ccv-158;accf4d32-83e9-483c-b1d8-e667454d18d1;Flor de Caña 1L;1;75;75
ccv-159;6008df60-6c21-448f-b121-52eac4064bdb;Coca Cola 3L;2;14;28
ccv-160;c1360b0a-433b-4adc-8d5b-98fdfa657ed2;Ice 5L;2;10;20
ccv-161;10184458-0d5e-4f5c-b8cf-9b4a5bd0f71b;Baltica 440ml;4;7;28
ccv-162;633c6122-1406-497e-ab72-d361ea72690b;Sixpack Burguesa 475ml;1;48;48
ccv-163;5a387183-88ad-46c7-a53e-a786247093b6;Caja Taquiña;1;65;65
ccv-164;65609fbc-4e6f-4d78-af75-edd7036b7c68;Sixpack Baltica;1;39;39
ccv-165;5c23b5bd-1e19-4bc9-a8e1-2034f112c528;Pack Golden 440ml;1;80;80
ccv-166;d59f068f-e462-475e-9706-a1a64e06ba72;Powerade 990ml;2;10;20
ccv-167;d59f068f-e462-475e-9706-a1a64e06ba72;Tarjeta entel;2;10;20
ccv-168;097f0478-f83f-47d4-aaf9-fceef94089b4;Sixpack Golden 440ml;1;40;40
ccv-169;35f73b38-e349-4795-ad69-2fa1042d5d90;Cuba Libre 2L;2;25;50
ccv-170;35f73b38-e349-4795-ad69-2fa1042d5d90;Ron Habana;1;80;80
ccv-171;bcab68d8-83de-4645-a296-23c1f94b2def;Jagermeistor 250ml;1;140;140
ccv-172;2cb5f69e-0e8c-4ed3-a381-8db3a3fe2efb;Pack Golden 440ml;1;80;80
ccv-173;15a599a3-e2b6-4bc3-8a66-7ad30efed808;Branca menta;1;70;70
ccv-174;66e39455-61ee-4a47-83f6-f3de96f27654;Taquiña 440ml;4;6;24
ccv-175;66e39455-61ee-4a47-83f6-f3de96f27654;Agua Vital 990ml;1;6;6
ccv-176;78407d41-85a6-48de-bf6d-059fef8caa7a;Caja Conti Lata 475ml;1;160;160
ccv-177;78407d41-85a6-48de-bf6d-059fef8caa7a;Alikal;2;5;10
ccv-178;d3a88df9-8ead-4320-91e9-4abdbb9dc0f4;Sixpack Baltica;1;38;38
ccv-179;98055577-95e9-4977-aad5-4f76565830c1;Burguesa 350ml;4;7;28
ccv-180;98055577-95e9-4977-aad5-4f76565830c1;Pepsi 1L;1;5;5
ccv-181;71d2eef7-de62-4714-837f-3a44e55eac6b;Coca Cola 3L;2;15;30
ccv-182;733f305d-ba14-429c-b425-f129cc9244ae;Sixpack Burguesa 473ml;1;45;45
ccv-183;dc8f3585-ccff-465c-8f16-e517ea7cc8a8;Ron Flor de Caña;1;80;80
ccv-184;10b292ea-b13e-4363-8552-bc15604f28a0;Coca Cola 3L;1;15;15
ccv-185;10b292ea-b13e-4363-8552-bc15604f28a0;Machucada Yungeno;3;11;33
ccv-186;9d4ee069-3baa-43be-9ec0-21f798a795eb;Lata Golden 440ml;6;7;42
ccv-187;2fc46a8f-308a-4727-8390-a110b11d9340;Cajetilla Camel ;1;19;19
ccv-188;0c781927-22b0-46f2-a858-0b64b69f0733;Baltica 440ml;2;7;14
ccv-189;0c781927-22b0-46f2-a858-0b64b69f0733;Conti 473ml;2;7;14
ccv-190;7b947124-af01-4be4-b9d1-839aeb7bcbc7;Ron Flor de Caña;1;75;75
ccv-191;e4a92adc-700b-4cf2-b0e9-bb85627622eb;Golden Lata 440ml;6;7;42
ccv-192;fb0c6f5e-f1e7-4e4c-b49e-0bd5e3568248;Golden Stand 440ml;5;7;35
ccv-193;37680154-9bd3-47f2-b89e-b3db87e6e099;Paceña lata 269ml;3;6;18
ccv-194;37680154-9bd3-47f2-b89e-b3db87e6e099;Sprite 3L;1;15;15
ccv-195;303aa48d-0cf6-4379-a37b-712c27352d08;Huari Miel Bot;2;10;20
ccv-196;7143af05-afc1-40f1-ad7d-d106fd8c3c7e;Paceña 440ml;4;8;32
ccv-197;a97c706a-dc86-4fc8-b650-f7ed20235b42;Paceña 440ml;2;8;16
ccv-198;a97c706a-dc86-4fc8-b650-f7ed20235b42;Burguesa 473ml;2;8;16
ccv-199;690a6e84-6495-4acd-aaa6-7f5cc4ea80c3;Cajetilla Bohem Sandia;1;15;15
ccv-200;690a6e84-6495-4acd-aaa6-7f5cc4ea80c3;Tres Plumas Seca;1;11;11
ccv-201;96899af7-c9b1-462c-b973-cf1117b0f809;Golden 440ml;6;7;42
ccv-202;79a5f830-d722-4de4-9f0a-8d32462fe588;Huari Lata;3;10;30
ccv-203;79a5f830-d722-4de4-9f0a-8d32462fe588;Pepsi 3L;1;11;11
ccv-204;368591f9-1ce3-477a-8938-92f29551783b;Sixpack Corona;1;60;60
ccv-205;1b6ac29c-9e08-43ff-bea6-8fcb0ceee41d;Caja Paceña mediana;1;130;130
ccv-206;988310d1-7bd1-4dfb-8937-e296fa6a3f5e;Casa Real Azul;1;35;35
ccv-207;988310d1-7bd1-4dfb-8937-e296fa6a3f5e;Sprite 3L;2;15;30
ccv-208;34406bc8-ac80-4bc3-a1a4-2a6197f3479a;Burguesa 473ml;6;8;48
ccv-209;c29e2700-4d7d-4a97-bafe-4fe5f7856e68;Fernet Bronco;1;75;75
ccv-210;bfc488c8-af58-4f53-8a05-fb723f18fcf7;Flor de Caña 1L;1;80;80
ccv-211;3a0a27cb-9a10-4704-9aa2-a12d08479270;Paceña 440ml;6;8;48
ccv-212;3a0a27cb-9a10-4704-9aa2-a12d08479270;Cajetilla Pequeña Winsten;1;5;5
ccv-213;6fc8c135-0ab8-46ff-965c-5b16e159b488;Huari Lata 440ml;4;10;40
ccv-214;ef452456-1ad6-4463-a799-cd6f56bf715f;Casa Real Etq Negra;1;75;75
ccv-215;581b0ecd-3132-4a37-8baa-d201865df59b;Paquete Paceña 440ml;1;95;95
ccv-216;031b4070-368f-4b24-b5d3-a6c6340f4719;Caja Paceña 710ml;1;65;65
ccv-217;70e37a93-508a-4c69-be2c-36d4d5f50bdc;Golden 440ml;3;7;21
ccv-218;70e37a93-508a-4c69-be2c-36d4d5f50bdc;Powerade 990ml;1;10;10
ccv-219;d9d384d0-2659-4697-af05-89c9a8892764;Burguesa 473ml;6;7;48
ccv-220;4d67b653-e0f7-4161-abf6-8d78b0a645d3;Vino Santa Ana;1;37;37
ccv-221;67349271-2d16-46f1-b338-a180288d52d2;Golden 440ml;6;8;48
ccv-222;89c9c877-1f9f-4540-b3ad-c71148592c31;Huari Miel Botellin;4;10;40
ccv-223;af8022ce-2a4c-4aae-804d-72ebe57f1d4b;Ron Barcola 1L;1;95;95
ccv-224;0cfd3294-f7ed-4a23-8fbd-e5681c9cdb7b;Quilmes 473ml;6;8;48
ccv-225;b7f910fe-4884-490a-9e6e-2e874d3940a7;Lata Huari 440ml;18;10;180
ccv-226;a3ae0b47-bbb9-4e75-a940-15874a476536;Cajetilla Camel;1;10;10
ccv-227;a3ae0b47-bbb9-4e75-a940-15874a476536;Coca Cola 2L;1;12;12
ccv-228;c2e055b1-0848-4579-8626-27d5fbe9d2fa;Burguesa 473ml;4;9;36
ccv-229;70e6c8b7-3af9-4ddc-83a7-039441cdebdc;Paceña 440ml;8;10;80
ccv-230;b9b71f0f-12f7-486f-b324-2d096c8d1ee2;Vodka Barkov 1L;1;50;50
ccv-231;11b73c50-3a28-4472-ba4a-b466f238d9c6;Golden 440ml;5;8;40
ccv-232;4ef79d54-77dd-4510-8114-f40794071345;Huari 330ml;6;9;54
ccv-233;e101db7b-72ca-48b8-948d-18a45b11342f;Pack Huari 330ml;1;105;105
ccv-234;d9bd3eea-5beb-472d-bd94-f9839b78b916;Coca Cola 2.5L;3;12;36
ccv-235;c69644ea-49e7-42a0-bb4a-84a5cdc068d2;Golden 440ml;3;8;24
ccv-236;c69644ea-49e7-42a0-bb4a-84a5cdc068d2;Cajetilla Camel Pequeña;1;10;10
ccv-237;b38a3482-04e8-4957-a549-48eb0933d2b2;Paquete Coca Cola 3L;1;90;90
ccv-238;e059266f-9b52-4079-af97-29bce71bfa6c;FourLoko 473ml;1;25;25
ccv-239;c2c6ca99-60f3-4dfe-9445-143e71d1f128;Sixpack Quilmes;1;50;50
ccv-240;516748e2-e63b-459c-b4e8-5c974bfcb5da;Paceña Macenuda;3;14;42
ccv-241;1f0c8b47-e1f1-4d11-8580-387de4e571f1;Paceña 330ml;4;8;32
ccv-242;1e5c6f90-4096-465a-97f1-976d66c93361;Golden 440ml;6;8;48
ccv-243;a38991a5-491c-43b3-9fe5-bf33992cfd6a;Pack Burguesa 473ml;1;105;105
ccv-244;8e639279-a45d-443f-b18f-2e65edc5af5f;Ron Habana;1;90;90
ccv-245;1a845c81-470d-463d-873c-6cbd3f192c9c;Paceña 269ml;5;7;35
ccv-246;3d73ce1c-2446-4fbc-b519-aecc9a48eb7c;Sixpack Quilmes;2;50;100
ccv-247;bdd44820-70c0-4102-be27-881692591593;Sixpack Quilmes;2;50;100
ccv-248;90177672-2169-48d1-82aa-52adec454d40;Pack Gretz Botellin;1;66;66
ccv-249;a0df4444-d0dc-47ec-8c77-07562e6bdc17;Paceña;5;8;45
ccv-250;72101eb1-54a8-4ead-ab1b-20e3414042ef;Burguesa 473ml;4;9;36
ccv-251;8cf34449-d4a5-472f-a6be-3a202cae2b9e;Caja Huari Lata;1;105;105
ccv-252;b4d3743a-4167-40d8-b307-36c473b55077;Paquete Coca Cola 3L;1;90;90
ccv-253;e70916a0-7090-432e-a5b5-06e0373aba58;Casa Real Etq Negra;1;75;75
ccv-254;535cdca7-12a7-43a2-b5e6-71faaa50acf0;Paceña 440ml;6;9;54
ccv-255;d92ab67b-7480-4b37-ba8f-2e5093c487fd;Rybro Etq Azul;1;35;35
ccv-256;94ecb31e-0784-4e01-afe6-a31346114d74;Huari Lata 310ml;8;8;64
ccv-257;5a74dcad-a49f-4955-84eb-c93368d782f0;Vino Santa Ana;1;35;35
ccv-258;812f586f-d025-4372-a54c-e4c06d532dfd;Burguesa 473ml;6;9;54
ccv-259;247a5079-b995-4db2-b8d5-7a7fbe1fef7a;Fernet Bronco;1;90;90
ccv-260;550d9df3-8107-431b-8b1e-91d70da3f989;Barkov 1L;1;50;50
ccv-261;550d9df3-8107-431b-8b1e-91d70da3f989;7Up;1;12;12
ccv-262;2b0515b5-67b5-4e4a-a057-d8852fc62891;Vino Kohlberg;2;25;50
ccv-263;763da1d5-2462-4ddf-84b6-a7310f67efe4;Singani Rujero;1;30;30
ccv-264;763da1d5-2462-4ddf-84b6-a7310f67efe4;7Up 3L;2;12;24
ccv-265;d37bc232-4d05-4859-a509-d12487061b68;Branca menta 750ml;1;90;90
ccv-266;bd965031-3e13-4970-a81f-7e582e1997e9;Sixpack Quilmes 473ml;1;50;50
ccv-267;dffbbb20-d2f3-462a-a8d1-a15069d7c27c;Casa Real Etq Negra;1;75;75
ccv-268;b8c03a89-8e84-4c40-b62c-dc1077d583b4;FourLoko 695ml;1;38;38
ccv-269;1909720b-4ce3-4360-81f6-839f93f7b406;Tres Plumas Seca;3;12;36
ccv-270;3bfd34d7-9785-46b4-8e7a-63c7b666a863;San Mateo 2L;1;25;25
ccv-271;3bfd34d7-9785-46b4-8e7a-63c7b666a863;Cajetilla Camel Pequeña;1;10;10
ccv-272;105f451e-a170-4264-9516-2d6ff1a0f930;Rockstar;1;4;4
ccv-273;d8593699-3b86-44a5-bfe0-facee191bbc1;Sixpack Quilmes 473ml;1;50;50
ccv-274;78073c1f-47bd-4645-b417-4a6f3f6c7612;FourLoko 695ml;1;37;37
ccv-275;ba002a6c-4a8a-4a30-b99f-5a31421adaa9;Paceña 440ml;4;9,5;38
ccv-276;62164b48-a544-4cf7-93af-645640dad86a;Singani 500ml;2;10;20
ccv-277;62164b48-a544-4cf7-93af-645640dad86a;7Up 3L;1;12;12
ccv-278;1189d4b6-fe26-462e-80e8-8c2fbdcb8cd9;Yungeño Machucado;2;11;22
ccv-279;1189d4b6-fe26-462e-80e8-8c2fbdcb8cd9;Bchem Yogur;1;14;14
ccv-280;4607523b-4c46-4fff-91da-3b36a14eeaf2;Paceña 330ml;2;8;16
ccv-281;4607523b-4c46-4fff-91da-3b36a14eeaf2;FourLoko 473ml;1;25;25
ccv-282;d858c96b-1f02-4a5b-ac29-8d447ddf73ae;Coca Cola 3L;2;12;24
